Tiempo (días),Progreso (%),Costo
0.0,0.0,100.0
1.0,1.0,200.0
2.0,2.0,300.0
3.0,3.0,400.0
4.0,4.0,500.0
5.0,5.0,600.0
6.0,6.0,700.0
7.0,7.0,800.0
8.0,8.0,900.0
9.0,9.0,1000.0
10.0,10.0,1100.0
11.0,11.0,1200.0
12.0,12.0,1300.0
13.0,13.0,1400.0
14.0,14.0,1500.0
15.0,15.0,1600.0
16.0,16.0,1700.0
17.0,17.0,1800.0
18.0,18.0,1900.0
19.0,19.0,2000.0
20.0,20.0,2100.0
21.0,21.0,2200.0
22.0,22.0,2300.0
23.0,23.0,2400.0
24.0,24.0,2500.0
25.0,25.0,2600.0
26.0,26.0,2700.0
27.0,27.0,2800.0
28.0,28.0,2900.0
29.0,29.0,3000.0
30.0,30.0,3100.0
31.0,31.0,3200.0
32.0,32.0,3300.0
33.0,33.0,3400.0
34.0,34.0,3500.0
35.0,35.0,3600.0
36.0,36.0,3700.0
37.0,37.0,3800.0
38.0,38.0,3900.0
39.0,39.0,4000.0
40.0,40.0,4100.0
41.0,41.0,4200.0
42.0,42.0,4300.0
43.0,43.0,4400.0
44.0,44.0,4500.0
45.0,45.0,4600.0
46.0,46.0,4700.0
47.0,47.0,4800.0
48.0,48.0,4900.0
49.0,49.0,5000.0
50.0,50.0,5100.0
51.0,56.0,5700.0
52.0,62.0,6300.0
53.0,68.0,6900.0
54.0,74.0,7500.0
55.0,80.0,8100.0
56.0,86.0,8700.0
57.0,92.0,9300.0
58.0,98.0,9900.0
59.0,104.0,10500.0
60.0,110.0,11100.0
61.0,116.0,11700.0
62.0,122.0,12300.0
63.0,128.0,12900.0
64.0,134.0,13500.0
65.0,140.0,14100.0
66.0,146.0,14700.0
67.0,152.0,15300.0
68.0,158.0,15900.0
69.0,164.0,16500.0
70.0,170.0,17100.0
71.0,176.0,17700.0
72.0,182.0,18300.0
73.0,188.0,18900.0
74.0,194.0,19500.0
75.0,200.0,20100.0
76.0,206.0,20700.0
77.0,212.0,21300.0
78.0,218.0,21900.0
79.0,224.0,22500.0
80.0,230.0,23100.0
81.0,236.0,23700.0
82.0,242.0,24300.0
83.0,248.0,24900.0
84.0,254.0,25500.0
85.0,260.0,26100.0
86.0,266.0,26700.0
87.0,272.0,27300.0
88.0,278.0,27900.0
89.0,284.0,28500.0
90.0,290.0,29100.0
91.0,296.0,29700.0
92.0,302.0,30300.0
93.0,308.0,30900.0
94.0,314.0,31500.0
95.0,320.0,32100.0
96.0,326.0,32700.0
97.0,332.0,33300.0
98.0,338.0,33900.0
99.0,344.0,34500.0
100.0,350.0,35100.0
